City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hambantota,56,LK,1627492148,78,6.1241,81.1185,80.62,17.56
Vaini,40,TO,1627492111,83,-21.2,-175.2,68.16,5.75
Sisophon,100,KH,1627492584,92,13.5859,102.9737,76.73,6.46
Hong Kong,67,HK,1627492235,82,22.2855,114.1577,86.38,1.01
Upernavik,100,GL,1627492153,89,72.7868,-56.1549,43.5,13.69
Port Lincoln,9,AU,1627492130,74,-34.7333,135.8667,49.73,8.84
Kapaa,90,US,1627492104,78,22.0752,-159.319,79.12,1.01
Esperance,36,AU,1627492156,70,-33.8667,121.9,55.85,21.09
Tiksi,59,RU,1627492139,95,71.6872,128.8694,36.55,5.32
Ribeira Grande,20,PT,1627492163,61,38.5167,-28.7,79.2,14.97
Provideniya,100,RU,1627492100,99,64.3833,-173.3,46.83,8.25
George Town,20,MY,1627492151,77,5.4112,100.3354,84.13,1.01
Teguise,40,ES,1627492585,65,29.0605,-13.564,73.62,20.71
Rikitea,100,PF,1627492095,78,-23.1203,-134.9692,74.39,14.12
San Cristobal,17,VE,1627492103,47,7.7669,-72.225,80.78,8.52
East London,58,ZA,1627492026,75,-33.0153,27.9116,64.56,8.5
Kaitangata,41,NZ,1627492175,81,-46.2817,169.8464,47.93,4.41
Mataura,35,NZ,1627492109,97,-46.1927,168.8643,43.48,3.87
Sancti Spíritus,40,CU,1627492586,63,21.9297,-79.4425,88.11,8.63
Dikson,74,RU,1627492101,94,73.5069,80.5464,37.92,13.18
Plettenberg Bay,99,ZA,1627492468,74,-34.0527,23.3716,53.62,5.59
Fortuna,26,US,1627492144,50,40.5982,-124.1573,55.74,4.41
Kungurtug,4,RU,1627492587,94,50.5994,97.5228,50.61,2.55
Ixtapa,40,MX,1627492139,70,20.7,-105.2,85.23,3.44
Saskylakh,69,RU,1627492219,53,71.9167,114.0833,59.41,10.56
Westport,75,US,1627492476,51,41.1415,-73.3579,82.42,1.99
Sibolga,76,ID,1627492173,89,1.7427,98.7792,76.98,1.54
Port Alfred,49,ZA,1627492118,74,-33.5906,26.891,61.63,5.41
Saint-Philippe,100,RE,1627492130,89,-21.3585,55.7679,72.99,18.16
Bethel,75,US,1627491992,57,41.3712,-73.414,80.1,1.99
Vardø,75,NO,1627492221,93,70.3705,31.1107,48.4,5.75
Geraldton,40,AU,1627492498,72,-28.7667,114.6,64.81,21.85
Arraial do Cabo,90,BR,1627492128,94,-22.9661,-42.0278,66.06,12.66
Puerto Ayora,85,EC,1627492121,78,-0.7393,-90.3518,73.65,10.85
Tasiilaq,85,GL,1627492146,68,65.6145,-37.6368,44.49,1.97
Katsuura,11,JP,1627492112,87,35.1333,140.3,81.1,17.78
Poum,61,NC,1627492200,66,-20.2333,164.0167,72.03,19.04
Luzhou,12,CN,1627492589,84,28.8724,105.4405,78.91,2.98
Hobart,58,AU,1627492077,70,-42.8794,147.3294,44.92,3.0
Avarua,40,CK,1627492109,94,-21.2078,-159.775,68.05,1.14
Strezhevoy,92,RU,1627492589,92,60.7333,77.5889,57.18,4.03
Walvis Bay,0,NA,1627492589,53,-22.9575,14.5053,59.09,22.46
Butaritari,95,KI,1627492110,74,3.0707,172.7902,81.61,10.71
Mikhaylovka,47,RU,1627492590,41,50.06,43.2379,77.09,5.17
Alice Springs,2,AU,1627492412,62,-23.7,133.8833,53.15,0.0
Thompson,5,CA,1627492134,42,55.7435,-97.8558,64.81,14.16
Lichinga,8,MZ,1627492590,63,-13.3128,35.2406,54.18,2.21
Ketchikan,40,US,1627492591,77,55.3422,-131.6461,61.27,8.05
Jakar,98,BT,1627492591,97,27.5492,90.7525,60.85,0.87
Broken Hill,0,AU,1627492252,73,-31.95,141.4333,44.73,7.9
Nikolskoye,100,RU,1627492070,84,59.7035,30.7861,67.89,3.13
Tuatapere,37,NZ,1627492177,90,-46.1333,167.6833,43.83,5.95
Cidreira,52,BR,1627492127,60,-30.1811,-50.2056,50.59,21.25
Kirkland Lake,81,CA,1627492592,49,48.1446,-80.0377,70.09,6.96
Manaure,6,CO,1627492567,59,11.7751,-72.4445,87.57,13.29
Selty,28,RU,1627492592,73,57.3132,52.1345,54.81,2.19
São Raimundo Nonato,0,BR,1627492547,21,-9.0153,-42.6994,96.21,3.71
Bambous Virieux,100,MU,1627492154,84,-20.3428,57.7575,70.21,24.45
Pitimbu,10,BR,1627492593,70,-7.4706,-34.8086,84.79,12.41
Longyearbyen,90,SJ,1627492106,87,78.2186,15.6401,44.44,11.5
Letlhakane,0,BW,1627492593,39,-21.4167,25.5833,56.57,5.53
Waipawa,8,NZ,1627492593,87,-41.4122,175.5153,45.23,3.74
Pisco,0,PE,1627492259,77,-13.7,-76.2167,66.02,9.22
Khovd,0,MN,1627492594,29,48.0056,91.6419,65.68,0.22
Bredasdorp,44,ZA,1627491997,67,-34.5322,20.0403,53.28,11.52
Baykit,99,RU,1627492594,75,61.67,96.37,60.55,3.85
Mhlume,0,SZ,1627492595,41,-26.0333,31.85,57.87,4.94
Aklavik,100,CA,1627492195,87,68.2191,-135.0107,56.05,0.13
Husavik,100,IS,1627492206,98,66.0449,-17.3389,49.06,10.96
Tilichiki,13,RU,1627492525,81,60.4667,166.1,42.49,5.23
Batemans Bay,0,AU,1627492494,47,-35.7167,150.1833,53.91,9.01
Lüderitz,0,NA,1627492102,74,-26.6481,15.1594,58.39,17.87
Berlevåg,75,NO,1627492533,87,70.8578,29.0864,48.2,4.61
Sioux Lookout,75,CA,1627492554,78,50.1001,-91.917,77.38,5.75
Uyuni,0,BO,1627492596,26,-20.4597,-66.825,45.84,26.55
Yangi Marg`ilon,1,UZ,1627492141,30,40.4272,71.7189,84.92,4.61
Algiers,75,DZ,1627492596,74,36.7525,3.042,82.22,6.91
Grindavik,0,IS,1627492596,72,63.8424,-22.4338,64.35,14.97
Dergachi,69,RU,1627492597,45,51.2328,48.7659,72.95,6.08
Pryazha,100,RU,1627492597,58,61.6926,33.6216,70.83,1.72
Privolzhye,46,RU,1627492597,56,52.8649,48.6044,67.41,2.37
Los Llanos de Aridane,75,ES,1627492483,81,28.6585,-17.9182,71.35,14.97
Lindi,1,TZ,1627492598,71,-10.0,39.7167,72.9,8.05
Fairlie,99,GB,1627492598,73,55.756,-4.8556,65.84,5.01
Itarema,9,BR,1627492234,59,-2.9248,-39.9167,86.72,18.14
Kiryat Gat,0,IL,1627492107,15,31.61,34.7642,87.78,7.23
Soyo,5,AO,1627492598,81,-6.1349,12.3689,74.46,11.72
Mar del Plata,94,AR,1627491975,65,-38.0023,-57.5575,50.09,8.99
La Ronge,30,CA,1627492101,47,55.1001,-105.2842,64.69,6.08
Port Elizabeth,94,ZA,1627492126,72,-33.918,25.5701,58.1,10.25
Mayumba,35,GA,1627492599,85,-3.432,10.6554,73.72,10.22
Poquoson,0,US,1627492599,63,37.1224,-76.3458,93.04,8.79
Rudnogorsk,56,RU,1627492600,47,57.2639,103.7519,68.61,2.19
Presidencia Roque Sáenz Peña,0,AR,1627492600,24,-26.7852,-60.4388,59.97,13.67
San Patricio,8,US,1627492188,49,28.017,-97.5169,91.87,5.28
Souillac,100,MU,1627492134,89,-20.5167,57.5167,69.37,23.67
Bella Union,33,UY,1627492601,50,-30.2752,-57.6007,50.4,17.25
Dongsheng,11,CN,1627492601,52,39.8161,109.9776,70.43,5.82
Coquimbo,20,CL,1627492046,76,-29.9533,-71.3436,55.13,10.36
Yulara,1,AU,1627492192,59,-25.2406,130.9889,57.87,3.18
New Norfolk,55,AU,1627492104,75,-42.7826,147.0587,44.58,3.0
Half Moon Bay,75,US,1627492145,75,37.4636,-122.4286,83.16,4.61
Pontes e Lacerda,3,BR,1627492602,25,-15.2261,-59.3353,75.52,9.86
Jumla,99,NP,1627492120,96,29.2747,82.1838,63.99,0.72
Bengkulu,86,ID,1627492131,84,-3.8004,102.2655,75.49,5.35
Adana Province,0,TR,1627492433,41,36.985,35.2881,93.79,3.44
Flagstaff,40,US,1627492532,51,35.1981,-111.6513,76.89,1.01
Pacific Grove,20,US,1627492254,88,36.6177,-121.9166,73.63,5.99
Imbituba,0,BR,1627492142,37,-28.24,-48.6703,58.89,3.74
Makakilo City,20,US,1627492196,76,21.3469,-158.0858,77.32,5.75
Grand-Lahou,93,CI,1627492603,70,5.1367,-5.0242,79.07,7.45
Codrington,28,AU,1627492603,89,-38.2667,141.9667,43.83,13.15
Sola,47,VU,1627492170,79,-13.8833,167.55,78.91,20.74
Fallon,75,US,1627492601,24,39.4735,-118.7774,84.45,5.75
Raudeberg,100,NO,1627492262,95,61.9875,5.1352,65.98,5.26
Okhotsk,99,RU,1627492235,93,59.3833,143.3,54.72,8.52
Bilma,100,NE,1627492192,23,18.6853,12.9164,100.18,8.37
Mossamedes,3,AO,1627492131,83,-15.1961,12.1522,66.79,7.18
Salalah,90,OM,1627492184,89,17.0151,54.0924,80.69,9.22
Airai,3,TL,1627491966,64,-8.9266,125.4092,56.89,3.13
Olafsvik,94,IS,1627492170,84,64.8945,-23.7142,53.67,14.54
Bahile,100,PH,1627492604,80,9.9995,118.7878,80.35,1.88
Gizo Government Station,33,SB,1627492605,78,-8.103,156.8419,80.62,5.77
São João da Barra,11,BR,1627492174,61,-21.6403,-41.0511,78.89,15.28
Sur,99,OM,1627492484,38,22.5667,59.5289,99.23,10.56
Narsaq,100,GL,1627492224,67,60.9167,-46.05,53.82,6.31
Matara,48,LK,1627492217,87,5.9485,80.5353,78.91,11.23
Calvinia,17,ZA,1627492605,79,-31.4707,19.776,45.72,6.85
Catalão,5,BR,1627492606,36,-18.1658,-47.9464,80.29,13.15
Bilibino,100,RU,1627492562,97,68.0546,166.4372,37.02,3.29
Barranca,39,PE,1627492606,71,-10.75,-77.7667,67.78,10.94
Liverpool,75,GB,1627492328,69,53.4106,-2.9779,63.68,1.99
Saint Paul Harbor,90,US,1627492137,76,57.79,-152.4072,54.91,0.0
Marathon,1,US,1627492607,81,44.9,-89.7668,80.87,1.01
Sabha,0,LY,1627492244,11,27.0377,14.4283,98.85,9.31
Lashio,100,MM,1627492225,98,22.9333,97.75,68.7,2.1
Wuda,20,CN,1627492607,34,39.4994,106.7117,78.46,8.34
Quryq,100,KZ,1627492608,33,43.2,51.65,81.07,12.77
Mahébourg,100,MU,1627492203,85,-20.4081,57.7,70.25,24.79
Kpandae,99,GH,1627492608,76,8.4689,-0.0113,79.41,4.54
Moerai,9,PF,1627492609,75,-22.4333,-151.3333,71.76,11.25
Cherskiy,92,RU,1627492121,89,68.75,161.3,36.66,10.11
Arandis,0,NA,1627492609,49,-22.4167,14.9667,52.47,8.52
Tautira,23,PF,1627492211,74,-17.7333,-149.15,71.62,4.85
Zaysan,15,KZ,1627492609,29,47.4667,84.8667,63.21,7.83
Lavrentiya,100,RU,1627492386,99,65.5833,-171.0,43.61,8.41
Paamiut,15,GL,1627492116,87,61.994,-49.6678,43.99,8.84
Tabora,7,TZ,1627492610,31,-5.0167,32.8,73.08,2.39
Ballina,59,AU,1627492098,68,-28.8667,153.5667,57.38,8.05
Bud,40,US,1627492532,69,39.447,-86.1758,87.42,6.35
Kang,0,BW,1627492611,32,-23.6752,22.7876,56.66,5.14
Key West,75,US,1627492592,64,24.5557,-81.7826,89.6,5.75
Klaksvík,96,FO,1627492108,93,62.2266,-6.589,54.52,9.35
Mount Isa,5,AU,1627492527,51,-20.7333,139.5,60.57,5.75
Fort Nelson,55,CA,1627492122,48,58.8053,-122.7002,66.88,3.42
Bonavista,97,CA,1627492253,82,48.6499,-53.1147,66.0,13.53
Nador,40,MA,1627492331,78,35.174,-2.9287,79.05,6.91
Ürümqi,0,CN,1627492612,32,43.801,87.6005,81.55,4.47
Behat,100,IN,1627492613,84,30.1667,77.6167,78.96,1.81
Havøysund,100,NO,1627492613,81,70.9963,24.6622,49.08,6.67
Comodoro Rivadavia,0,AR,1627492501,62,-45.8667,-67.5,55.26,4.61
Porbandar,100,IN,1627492207,83,21.6422,69.6093,82.13,26.96
Zheleznodorozhnyy,100,RU,1627492614,87,55.7503,38.0042,66.42,7.47
Ukiah,1,US,1627492614,39,39.1502,-123.2078,94.12,0.0
Baruun-Urt,85,MN,1627492428,81,46.6806,113.2792,62.42,5.41
Carman,100,CA,1627492614,61,49.4992,-98.0016,82.63,12.66
Erenhot,67,CN,1627492615,53,43.6475,111.9767,74.19,7.05
Sakakah,0,SA,1627492233,12,29.9697,40.2064,98.53,14.52
Puerto Madryn,15,AR,1627492451,39,-42.7692,-65.0385,51.13,10.2
Tezu,87,IN,1627492265,90,27.9167,96.1667,78.67,4.23
Faanui,69,PF,1627492124,70,-16.4833,-151.75,77.7,2.44
Aketi,84,CD,1627492616,68,2.7388,23.7833,77.14,2.53
Hervey Bay,2,AU,1627492616,86,-25.2986,152.8535,63.03,12.91
Zhigansk,2,RU,1627492616,48,66.7697,123.3711,54.99,6.8
Murgab,0,TM,1627492460,21,37.4966,61.9714,85.87,9.22
Birao,99,CF,1627492617,80,10.2849,22.7882,76.42,4.76
Zhicheng,65,CN,1627492617,88,30.2956,111.5047,77.58,2.98
Khandyga,0,RU,1627492617,58,62.6667,135.6,52.32,7.65
Dongzhen,97,CN,1627492618,92,22.3797,110.9389,79.18,2.3
Shahrud,11,IR,1627492618,66,36.4182,54.9763,74.17,14.23
Lázaro Cárdenas,42,MX,1627492247,69,17.9583,-102.2,85.64,1.81
Vestmannaeyjar,92,IS,1627492194,78,63.4427,-20.2734,56.1,4.16
Fare,17,PF,1627492190,70,-16.7,-151.0167,77.45,2.84
Socastee,90,US,1627492582,88,33.6835,-78.9984,86.29,3.44
Rafai,99,CF,1627492450,82,4.95,23.9167,71.91,3.09
Raja,60,SS,1627492271,93,8.4596,25.678,71.65,2.98
Abu Dhabi,76,AE,1627492619,63,24.4667,54.3667,100.51,4.61
Enshi,26,CN,1627492565,94,30.3,109.4833,72.61,0.6
Caibarién,11,CU,1627492619,69,22.5206,-79.4669,90.72,9.95
Sharlyk,1,RU,1627492620,41,52.9167,54.75,61.25,7.07
Taozhuang,100,CN,1627492620,94,34.85,117.3333,75.63,16.06
San Francisco,75,US,1627491989,76,37.7749,-122.4194,84.96,3.0
Svetlaya,25,RU,1627492195,87,46.5389,138.3297,67.89,5.73
Imeni Poliny Osipenko,71,RU,1627492544,95,52.4201,136.4853,65.95,0.98
Norfolk,90,US,1627492621,77,42.1668,-71.2495,74.12,3.44
Ca Mau,71,VN,1627492512,82,9.1769,105.15,79.79,7.27
Nichinan,1,JP,1627492172,84,31.6,131.3667,75.16,3.76
Diffa,100,NE,1627492622,69,13.3154,12.6113,79.7,5.19
Haines Junction,98,CA,1627492220,62,60.7522,-137.5108,57.85,3.6
Ostrovnoy,100,RU,1627492238,83,68.0531,39.5131,45.79,7.29
Carutapera,23,BR,1627492233,68,-1.195,-46.02,84.7,8.57
Grand Gaube,100,MU,1627492240,77,-20.0064,57.6608,70.38,8.99
Ponta do Sol,3,PT,1627492113,73,32.6667,-17.1,77.72,1.14
Samarai,100,PG,1627492623,85,-10.6167,150.6667,77.58,3.89
Wanaka,24,NZ,1627492245,90,-44.7,169.15,38.61,3.31
Sinop Province,0,TR,1627492623,72,41.7711,34.8709,64.22,2.15
Berdigestyakh,0,RU,1627492624,53,62.0989,126.6992,51.12,7.14
Zabul Province,7,AF,1627492624,15,32.25,67.25,84.81,19.82
Joshīmath,100,IN,1627492625,90,30.5667,79.5667,72.55,1.7
Dinguiraye,89,GN,1627492625,84,11.3,-10.7167,77.16,3.11
Río Gallegos,75,AR,1627492235,81,-51.6226,-69.2181,46.45,3.44
Truth or Consequences,1,US,1627492625,40,33.1284,-107.2528,87.91,4.61
São Félix do Xingu,0,BR,1627492211,19,-6.6447,-51.995,98.47,2.98
Alofi,100,NU,1627492626,88,-19.0595,-169.9187,67.89,6.91
Prince Rupert,100,CA,1627492471,91,54.3161,-130.3201,56.21,1.14
Marsá Maţrūḩ,0,EG,1627492626,68,31.3525,27.2453,81.43,13.27
Keti Bandar,100,PK,1627492133,82,24.1447,67.4497,82.9,25.37
Hamburg,20,DE,1627492536,63,53.55,10.0,73.18,14.97
Tuktoyaktuk,99,CA,1627492099,77,69.4541,-133.0374,47.77,6.96
Yatou,100,CN,1627492627,87,37.15,122.3833,76.59,5.23
Viedma,16,AR,1627492222,47,-40.8135,-62.9967,50.5,9.98
Muros,0,ES,1627492243,52,42.7762,-9.0603,79.16,15.46
Tyup,13,KG,1627492627,77,42.7276,78.3648,62.02,6.29
Port Hardy,9,CA,1627492129,71,50.6996,-127.4199,62.33,4.32
Athabasca,31,CA,1627492507,26,54.7169,-113.2854,75.15,7.0
Isangel,23,VU,1627492245,72,-19.55,169.2667,69.48,11.25
Yumen,0,CN,1627492628,17,40.2833,97.2,80.85,12.08
Torbay,91,CA,1627492127,88,47.6666,-52.7314,76.75,13.09
Ola,98,RU,1627492563,60,59.5833,151.2833,52.83,11.27
São Gabriel da Cachoeira,40,BR,1627492629,83,-0.1303,-67.0892,82.2,4.61
Marystown,89,CA,1627491988,100,47.1666,-55.1483,72.86,8.32
Ambulu,17,ID,1627492372,86,-8.345,113.6058,73.69,2.95
San Carlos del Zulia,96,VE,1627492629,61,9.0,-71.9135,86.04,4.88
Portland,75,US,1627492194,61,45.5234,-122.6762,79.95,1.99
Aksarka,56,RU,1627492630,93,66.5606,67.7975,44.89,7.61
Manbij,0,SY,1627492630,18,36.5281,37.9549,92.17,26.4
Sidi Ali,1,DZ,1627492630,64,36.0998,0.4206,81.48,14.27
Darnah,0,LY,1627492631,66,32.767,22.6367,81.23,15.57
Lumut,20,MY,1627492631,83,4.2323,100.6298,80.96,2.3
Monselice,34,IT,1627492631,72,45.2424,11.749,87.94,9.71
Mareeba,27,AU,1627492632,96,-17.0,145.4333,58.44,2.15
Makat,43,KZ,1627492213,23,47.6469,53.3463,82.45,9.89
Châteaudun,75,FR,1627492632,53,48.0833,1.3333,73.54,18.41
Sept-Îles,90,CA,1627492382,64,50.2001,-66.3821,63.25,8.01
Bindura,1,ZW,1627492632,56,-17.3019,31.3306,54.95,3.74
Nanortalik,44,GL,1627492260,85,60.1432,-45.2371,46.87,13.18
Anadyr,100,RU,1627492227,93,64.75,177.4833,46.0,15.01
Tamandaré,22,BR,1627492633,65,-8.7597,-35.1047,79.92,8.14
Champaign,1,US,1627491863,70,40.1334,-88.2001,86.72,1.99
Yerbogachën,0,RU,1627492633,59,61.2767,108.0108,70.97,9.15
Fīrozpur Jhirka,100,IN,1627492634,82,27.8,76.95,82.98,0.2
Baní,26,DO,1627492634,50,18.2833,-70.3333,89.04,16.62
Basco,62,PH,1627492634,84,20.4487,121.9702,83.34,25.5
Road Town,20,VG,1627492634,70,18.4167,-64.6167,86.04,12.66
Saint George,29,US,1627492198,36,37.1041,-113.5841,94.53,1.01
Malinovskiy,93,RU,1627492635,85,61.1953,62.8397,44.1,9.19
Paranhos,0,BR,1627492635,23,-23.8928,-55.4311,58.78,10.38
Timaru,24,NZ,1627492635,92,-44.4,171.25,39.07,4.03
Orlik,96,RU,1627492636,91,52.5178,99.825,57.65,1.99
Hamilton,20,US,1627492483,64,39.1834,-84.5333,89.74,1.99
Yaoundé,97,CM,1627492606,85,3.8667,11.5167,71.58,5.3
Kushmurun,32,KZ,1627492636,63,52.4503,64.6311,60.76,10.2
Sukhumi,26,GE,1627492637,91,43.0033,41.0153,73.11,6.13
Shache,6,CN,1627492383,15,38.4167,77.2406,87.69,10.47
Nantucket,25,US,1627492558,87,41.2835,-70.0995,73.54,17.49
Bukama,51,CD,1627492637,28,-9.2,25.85,78.69,1.68
Strathmore,61,CA,1627492485,32,51.0501,-113.3852,77.81,9.28
Kruisfontein,100,ZA,1627492163,76,-34.0033,24.7314,55.89,9.55
Kasempa,41,ZM,1627492638,35,-13.4584,25.8338,61.14,4.36
Clyde River,88,CA,1627491950,69,70.4692,-68.5914,44.8,3.8
Vostok,93,RU,1627492500,85,46.4856,135.8833,70.9,3.78
Chokwé,0,MZ,1627492638,44,-24.5333,32.9833,67.32,4.97
Koslan,100,RU,1627492638,98,63.4564,48.8989,49.66,3.09
Yar-Sale,76,RU,1627492105,94,66.8333,70.8333,45.68,5.06
Monrovia,100,LR,1627492059,69,6.3005,-10.7969,80.37,10.36
Tiznit Province,5,MA,1627492465,34,29.5833,-9.5,88.79,8.97
Dingle,100,PH,1627492166,83,10.9995,122.6711,78.08,8.05
Bairiki Village,40,KI,1627492639,78,1.3292,172.9752,80.6,5.75
Northam,6,GB,1627492542,83,51.0333,-4.2167,67.62,21.05
Nampula,20,MZ,1627492640,68,-15.1165,39.2666,69.75,10.36
Phang Nga,88,TH,1627492640,95,8.4509,98.5298,83.91,4.21
Ancud,12,CL,1627492112,72,-41.8697,-73.8203,44.13,3.42
Mehamn,90,NO,1627492477,87,71.0357,27.8492,48.38,7.34
Maniitsoq,43,GL,1627492119,84,65.4167,-52.9,46.24,17.47
Rwamagana,74,RW,1627492641,43,-1.9487,30.4347,74.64,2.01
Sungai Penuh,99,ID,1627492520,98,-2.0833,101.3833,65.21,0.47
Bonthe,99,SL,1627492641,73,7.5264,-12.505,78.55,10.92
Tutóia,18,BR,1627492641,66,-2.7619,-42.2744,87.78,13.73
Tūkrah,0,LY,1627492642,62,32.5341,20.5791,82.35,13.8
Sørland,83,NO,1627492642,88,67.667,12.6934,57.27,21.72
Petropavlovsk-Kamchatskiy,100,RU,1627492510,78,53.0452,158.6483,62.19,7.92
Fairbanks,90,US,1627492250,94,64.8378,-147.7164,57.6,1.01
Tsimmerbude,76,RU,1627492642,87,54.675,20.1347,77.05,4.14
Visby,0,SE,1627492197,83,57.6409,18.296,75.06,13.8
Porto Santo,40,PT,1627492182,73,33.072,-16.3415,76.91,14.97
Beringovskiy,100,RU,1627492236,78,63.05,179.3167,46.92,12.3
Oktyabr'skiy,5,RU,1627492643,50,54.4815,53.471,58.78,3.98
Elliot Lake,51,CA,1627492643,63,46.3834,-82.6331,71.69,4.36
Villarrica,0,PY,1627492644,24,-25.75,-56.4333,59.58,12.24
Sidrolândia,98,BR,1627492644,23,-20.9319,-54.9614,52.59,12.53
Qujing,100,CN,1627492644,91,25.4833,103.7833,64.51,2.57
Byron Bay,50,AU,1627492645,71,-28.65,153.6167,64.35,7.49
Broome,40,US,1627492140,62,42.2506,-75.833,75.69,1.99
Cayenne,75,GF,1627491992,76,4.9333,-52.3333,87.84,3.0
Asău,77,RO,1627492096,82,46.4333,26.4,68.95,10.71
Siocon,87,PH,1627492645,90,7.7061,122.1353,79.34,5.01
St. George's,71,GD,1627492136,84,12.0564,-61.7485,80.15,11.9
Shouguang,100,CN,1627492646,94,36.88,118.7375,74.01,9.44
Synya,100,RU,1627492646,99,65.3718,58.0387,43.86,4.05
Gamba,44,GA,1627492646,77,-2.65,10.0,75.18,8.97
Pichayevo,100,RU,1627492647,84,53.2363,42.2032,65.1,11.05
Leavenworth,20,US,1627492647,64,39.2333,-95.0336,95.13,1.01
Vila Franca do Campo,61,PT,1627492454,78,37.7167,-25.4333,73.81,7.09
Leningradskiy,100,RU,1627492647,99,69.3833,178.4167,33.24,16.62
Santiago del Estero,5,AR,1627492648,23,-27.7951,-64.2615,59.81,4.63
Songjianghe,99,CN,1627492648,93,42.1859,127.479,67.15,2.53
Shaunavon,100,CA,1627492221,29,49.6501,-108.4181,75.52,9.28
Loviisa,78,FI,1627492649,87,60.4566,26.2251,73.44,2.84
Bathsheba,75,BB,1627492220,88,13.2167,-59.5167,77.61,26.46
Esim,79,GH,1627492534,65,4.8699,-2.2405,78.87,7.87
Corinth,0,GR,1627492649,35,37.9407,22.9573,96.69,4.94
Saint-Joseph,100,RE,1627492451,86,-21.3667,55.6167,71.98,19.73
Jalu,0,LY,1627492563,15,29.0331,21.5482,96.71,10.29
Huarmey,29,PE,1627492236,71,-10.0681,-78.1522,70.52,11.88
Pechenga,99,RU,1627492650,65,69.5259,31.1703,52.66,2.71
Khlung,100,TH,1627492650,91,12.4547,102.2214,78.55,9.33
Wilmington,1,US,1627492497,81,34.2257,-77.9447,84.97,0.0
Leshukonskoye,97,RU,1627492248,94,64.8989,45.7622,50.94,6.4
Constitución,0,CL,1627492250,40,-35.3333,-72.4167,57.11,2.44
Casper,1,US,1627492445,29,42.8666,-106.3131,88.5,5.01
